edition,sport,discipline,athlete,NOC,medal,id
2008,Taekwondo,Taekwondo,"NIKPAI, Rohullah",AFG,Bronze,1
1988,Sailing,Sailing,"BOERSMA, Jan D.",AHO,Silver,2
1984,Boxing,Boxing,"ZAOUI, Mohamed",ALG,Bronze,3
1984,Boxing,Boxing,"MOUSSA, Mustapha",ALG,Bronze,3
1992,Athletics,Athletics,"BOULMERKA, Hassiba",ALG,Gold,3
1992,Boxing,Boxing,"SOLTANI, Hocine",ALG,Bronze,3
1996,Athletics,Athletics,"MORCELI, Nourredine",ALG,Gold,3
1996,Boxing,Boxing,"SOLTANI, Hocine",ALG,Gold,3
1996,Boxing,Boxing,"BAHARI, Mohamed",ALG,Bronze,3
2000,Athletics,Athletics,"MERAH-BENIDA, Nouria",ALG,Gold,3
2000,Athletics,Athletics,"SAIDI-SIEF, Ali",ALG,Silver,3
2000,Athletics,Athletics,"SAID GUERNI, Djabir",ALG,Bronze,3
2000,Athletics,Athletics,"HAMMAD, Abderrahmane",ALG,Bronze,3
2000,Boxing,Boxing,"ALLALOU, Mohamed",ALG,Bronze,3
2008,Judo,Judo,"HADDAD, Soraya",ALG,Bronze,3
2008,Judo,Judo,"BENIKHLEF, Amar",ALG,Silver,3
1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Bronze,4
1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Silver,4
1908,Athletics,Athletics,"KERR, Harry E.",ANZ,Bronze,4
1908,Boxing,Boxing,"BAKER, Reginald L.",ANZ,Silver,4
1908,Rugby,Rugby,"BARNETT, Jumbo",ANZ,Gold,4
1908,Rugby,Rugby,"BEDE-SMITH, Frank",ANZ,Gold,4
1908,Rugby,Rugby,"CARMICHAEL, Philipp",ANZ,Gold,4
1908,Rugby,Rugby,"CARROLL, Daniel Brendan",ANZ,Gold,4
1908,Rugby,Rugby,"CRAIG, Robert R.",ANZ,Gold,4
1908,Rugby,Rugby,"GRIFFEN, Thomas",ANZ,Gold,4
1908,Rugby,Rugby,"HICKEY, John",ANZ,Gold,4
1908,Rugby,Rugby,"MCARTHUR, Emmanuel",ANZ,Gold,4
1908,Rugby,Rugby,"MCCABE, Arthur J.",ANZ,Gold,4
1908,Rugby,Rugby,"MCCUE, Patrick",ANZ,Gold,4
1908,Rugby,Rugby,"MCKIVATT, Christopher",ANZ,Gold,4
1908,Rugby,Rugby,"MCMURTRIE, Charles",ANZ,Gold,4
1908,Rugby,Rugby,"MIDDLETON, Albert Sidney",ANZ,Gold,4
1908,Rugby,Rugby,"RICHARDS, Thomas",ANZ,Gold,4
1908,Rugby,Rugby,"RUSSELL, Charles",ANZ,Gold,4
1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Silver,4
1912,Aquatics,Swimming,"DURACK, Fanny",ANZ,Gold,4
1912,Aquatics,Swimming,"WYLIE, Wilhelmina",ANZ,Silver,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Bronze,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Bronze,4
1912,Aquatics,Swimming,"BOARDMAN, Leslie",ANZ,Gold,4
1912,Aquatics,Swimming,"CHAMPION, Malcolm",ANZ,Gold,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Gold,4
1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Gold,4
1912,Tennis,Tennis,"WILDING, Anthony Frederick",ANZ,Bronze,4
1924,Athletics,Athletics,"BRUNETO, Luis",ARG,Silver,5
1924,Boxing,Boxing,"PORZIO, Alfredo",ARG,Bronze,5
1924,Boxing,Boxing,"QUARTUCCI, Pedro",ARG,Bronze,5
1924,Boxing,Boxing,"COPELLO, Alfredo",ARG,Silver,5
1924,Boxing,Boxing,"MENDEZ, Hector",ARG,Silver,5
1924,Polo,Polo,"KENNY, Arturo",ARG,Gold,5
1924,Polo,Polo,"MILES, Juan",ARG,Gold,5
1924,Polo,Polo,"NAYLOR, Guillermo",ARG,Gold,5
1924,Polo,Polo,"NELSON, Juan",ARG,Gold,5
1924,Polo,Polo,"PADILLA, Enrique",ARG,Gold,5
1924,Polo,Polo,"PENA, A.",ARG,Gold,5
1928,Aquatics,Swimming,"ZORRILLA, Victoriano",ARG,Gold,5
1928,Boxing,Boxing,"RODRIGUEZ JURADO, Arturo",ARG,Gold,5
1928,Boxing,Boxing,"PERALTA, Victor",ARG,Silver,5
1928,Boxing,Boxing,"LANDINI, Raul",ARG,Silver,5
1928,Boxing,Boxing,"AVENDANO, Victor",ARG,Gold,5
1928,Fencing,Fencing,"ANGANUZZI, Raul",ARG,Bronze,5
1928,Fencing,Fencing,"CAMET, Carmelo F.",ARG,Bronze,5
1928,Fencing,Fencing,"LARRAZ, Roberto",ARG,Bronze,5
1928,Fencing,Fencing,"LUCCHETTI, Hector Pablo",ARG,Bronze,5
1928,Fencing,Fencing,"LUCCHETTI, Luis J.",ARG,Bronze,5
1928,Football,Football,"BIDOGLIO, Ludovico",ARG,Silver,5
1928,Football,Football,"BOSIO, Angel",ARG,Silver,5
1928,Football,Football,"CALANDRA, Saul H.",ARG,Silver,5
1928,Football,Football,"CARRICABERRY, Alfredo D.",ARG,Silver,5
1928,Football,Football,"CHERRO, Roberto",ARG,Silver,5
1928,Football,Football,"DIAZ, Octavio J.",ARG,Silver,5
1928,Football,Football,"EVARISTO, J.",ARG,Silver,5
1928,Football,Football,"FERREIRA, Manuel",ARG,Silver,5
1928,Football,Football,"GAINZARAIN, Enrique",ARG,Silver,5
1928,Football,Football,"GOMEZ, S. N.",ARG,Silver,5
1928,Football,Football,"HELMAN, A.",ARG,Silver,5
1928,Football,Football,"MEDICI, Angel Segundo",ARG,Silver,5
1928,Football,Football,"MONTI, Luis Felipe",ARG,Silver,5
1928,Football,Football,"OCHOA, P.",ARG,Silver,5
1928,Football,Football,"ORLANDINI, Rodolfo",ARG,Silver,5
1928,Football,Football,"ORSI, Raimundo B.",ARG,Silver,5
1928,Football,Football,"PATERNOSTER, Fernando",ARG,Silver,5
1928,Football,Football,"PERDUCCA, Feliciano Angel",ARG,Silver,5
1928,Football,Football,"PERINETTI, N.",ARG,Silver,5
1928,Football,Football,"TARASCONI, Domingo Alberto",ARG,Silver,5
1928,Football,Football,"WEIHMULLER, L. F.",ARG,Silver,5
1928,Football,Football,"ZUMELZU, A. B.",ARG,Silver,5
1932,Athletics,Athletics,"ZABALA, Juan Carlos",ARG,Gold,5
1932,Boxing,Boxing,"LOVELL, Alberto Santiago",ARG,Gold,5
1932,Boxing,Boxing,"ROBLEDO, Carmelo Ambrosio",ARG,Gold,5
1932,Boxing,Boxing,"AZAR, Amado",ARG,Silver,5
1936,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Silver,5
1936,Boxing,Boxing,"LOVELL, Jose Guillermo",ARG,Silver,5
1936,Boxing,Boxing,"CASANOVAS, Oscar",ARG,Gold,5
1936,Boxing,Boxing,"VILLAREAL, Raul Vicente",ARG,Bronze,5
1936,Boxing,Boxing,"RISIGLIONE, Francisco",ARG,Bronze,5
1936,Polo,Polo,"ANDRADA, Manuel",ARG,Gold,5
1936,Polo,Polo,"CAVANAGH, Roberto",ARG,Gold,5
1936,Polo,Polo,"DUGGAN, Luis J.",ARG,Gold,5
1936,Polo,Polo,"GAZZOTTI, Andres",ARG,Gold,5
1936,Rowing,Rowing,"CURATELLA, Julio Pedro",ARG,Bronze,5
1936,Rowing,Rowing,"PODESTA, Horacio",ARG,Bronze,5
1948,Athletics,Athletics,"SIMONETTO DE PORTELA, Noemi",ARG,Silver,5
1948,Athletics,Athletics,"CABRERA, Delfo",ARG,Gold,5
1948,Boxing,Boxing,"PEREZ, Pascual Nicolas",ARG,Gold,5
1948,Boxing,Boxing,"IGLESIAS, Rafael",ARG,Gold,5
1948,Boxing,Boxing,"CIA, Mauro",ARG,Bronze,5
1948,Sailing,Sailing,"HOMP, Emilio C.",ARG,Silver,5
1948,Sailing,Sailing,"RIVADEMAR, Rodolfo",ARG,Silver,5
1948,Sailing,Sailing,"RODRIGUEZ DE LA TORRE, Rufino",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER JR., Enrique Conrado",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER SR., Enrique Conrado",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER, Julio Christian",ARG,Silver,5
1948,Shooting,Shooting,"DIAZ SAENZ VALIENTE, Carlos Enrique",ARG,Silver,5
1952,Athletics,Athletics,"GORNO, Reinaldo",ARG,Silver,5
1952,Boxing,Boxing,"HERRERA, Eladio Oscar",ARG,Bronze,5
1952,Boxing,Boxing,"PACENZA, Antonio",ARG,Silver,5
1952,Rowing,Rowing,"CAPPOZZO, Tranquilo",ARG,Gold,5
1952,Rowing,Rowing,"GUERRERO, Eduardo",ARG,Gold,5
1952,Weightlifting,Weightlifting,"SELVETTI, Humberto",ARG,Bronze,5
1956,Boxing,Boxing,"ZALAZAR, Victor",ARG,Bronze,5
1956,Weightlifting,Weightlifting,"SELVETTI, Humberto",ARG,Silver,5
1960,Boxing,Boxing,"LAUDONIO, Abel Ricardo",ARG,Bronze,5
1960,Sailing,Sailing,"CALEGARIS, Hector",ARG,Silver,5
1960,Sailing,Sailing,"DEL RIO SALAS, Jorge Alberto",ARG,Silver,5
1960,Sailing,Sailing,"SALAS CHAVES, Jorge Alberto",ARG,Silver,5
1964,Equestrian,Eventing,"MORATORIO, Carlos Alberto",ARG,Silver,5
1968,Boxing,Boxing,"GUILOTTI GONZALEZ, Mario",ARG,Bronze,5
1968,Rowing,Rowing,"DEMIDDI, Alberto",ARG,Bronze,5
1972,Rowing,Rowing,"DEMIDDI, Alberto",ARG,Silver,5
1988,Tennis,Tennis,"SABATINI, Gabriela",ARG,Silver,5
1988,Volleyball,Volleyball,"CASTELLANI, Daniel Jorge",ARG,Bronze,5
1988,Volleyball,Volleyball,"COLLA, Daniel M.",ARG,Bronze,5
1988,Volleyball,Volleyball,"CONTE, Hugo Nestor",ARG,Bronze,5
1988,Volleyball,Volleyball,"CUMINETTI, Juan Carlos",ARG,Bronze,5
1988,Volleyball,Volleyball,"DE PALMA, Esteban",ARG,Bronze,5
1988,Volleyball,Volleyball,"DIZ, Alejandro",ARG,Bronze,5
1988,Volleyball,Volleyball,"KANTOR, Waldo Ariel",ARG,Bronze,5
1988,Volleyball,Volleyball,"MARTINEZ, Esteban Eduardo",ARG,Bronze,5
1988,Volleyball,Volleyball,"QUIROGA, Raul Nicolas",ARG,Bronze,5
1988,Volleyball,Volleyball,"URIARTE, Jon Emili",ARG,Bronze,5
1988,Volleyball,Volleyball,"WEBER, Carlos",ARG,Bronze,5
1988,Volleyball,Volleyball,"ZULIANELLO, Claudio F.",ARG,Bronze,5
1992,Tennis,Tennis,"FRANA, Javier",ARG,Bronze,5
1992,Tennis,Tennis,"MINIUSSI, Christian Carlos",ARG,Bronze,5
1996,Boxing,Boxing,"CHACON, Pablo",ARG,Bronze,5
1996,Football,Football,"ALMEYDA, Matias",ARG,Silver,5
1996,Football,Football,"AYALA, Roberto",ARG,Silver,5
1996,Football,Football,"BASSEDAS, Christian",ARG,Silver,5
1996,Football,Football,"BOSSIO, Carlos",ARG,Silver,5
1996,Football,Football,"CAVALLERO, Pablo",ARG,Silver,5
1996,Football,Football,"CHAMOT, Jose Antonio",ARG,Silver,5
1996,Football,Football,"CRESPO, Hernan",ARG,Silver,5
1996,Football,Football,"DELGADO, Marcelo",ARG,Silver,5
1996,Football,Football,"GALLARDO, Marcelo",ARG,Silver,5
1996,Football,Football,"LOPEZ, Claudio",ARG,Silver,5
1996,Football,Football,"LOPEZ, Gustavo",ARG,Silver,5
1996,Football,Football,"MORALES, Hugo",ARG,Silver,5
1996,Football,Football,"ORTEGA, Ariel",ARG,Silver,5
1996,Football,Football,"PAZ, Pablo",ARG,Silver,5
1996,Football,Football,"PINEDA, Hector",ARG,Silver,5
1996,Football,Football,"SENSINI, Roberto",ARG,Silver,5
1996,Football,Football,"SIMEONE, Diego",ARG,Silver,5
1996,Football,Football,"ZANETTI, Javier",ARG,Silver,5
1996,Sailing,Sailing,"ESPINOLA, Carlos",ARG,Silver,5
2000,Hockey,Hockey,"AICEGA, Magdalena",ARG,Silver,5
2000,Hockey,Hockey,"ANTONISKA, Mariela",ARG,Silver,5
2000,Hockey,Hockey,"ARRONDO, Ines",ARG,Silver,5
2000,Hockey,Hockey,"AYMAR, Luciana",ARG,Silver,5
2000,Hockey,Hockey,"FERRARI, Maria Paz",ARG,Silver,5
2000,Hockey,Hockey,"GAMBERO, Ana",ARG,Silver,5
2000,Hockey,Hockey,"GARCIA, Agustina",ARG,Silver,5
2000,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",ARG,Silver,5
2000,Hockey,Hockey,"MAIZTEGUI, Laura",ARG,Silver,5
2000,Hockey,Hockey,"MARGALOT, Mercedes",ARG,Silver,5
2000,Hockey,Hockey,"MASOTTA, Paula Karina",ARG,Silver,5
2000,Hockey,Hockey,"ONETO, Vanina Paula",ARG,Silver,5
2000,Hockey,Hockey,"RIMOLDI PUIG, Jorgelina",ARG,Silver,5
2000,Hockey,Hockey,"ROGNONI, Maria Cecilia",ARG,Silver,5
2000,Hockey,Hockey,"STEPNIK, Ayelen Iara",ARG,Silver,5
2000,Hockey,Hockey,"VUKOJICIC, Paola",ARG,Silver,5
2000,Sailing,Sailing,"CONTE, Javier",ARG,Bronze,5
2000,Sailing,Sailing,"DE LA FUENTE, Juan",ARG,Bronze,5
2000,Sailing,Sailing,"ESPINOLA, Carlos",ARG,Silver,5
2000,Sailing,Sailing,"AMATO, Serena",ARG,Bronze,5
2004,Aquatics,Swimming,"BARDACH, Georgina",ARG,Bronze,5
2004,Basketball,Basketball,"DELFINO, Carlos Francisco",ARG,Gold,5
2004,Basketball,Basketball,"FERNANDEZ, Gabriel Diego",ARG,Gold,5
2004,Basketball,Basketball,"GINOBILI, Emanuel David",ARG,Gold,5
2004,Basketball,Basketball,"GUTIERREZ, Leonardo Martin",ARG,Gold,5
2004,Basketball,Basketball,"HERRMANN, Walter",ARG,Gold,5
2004,Basketball,Basketball,"MONTECCHIA, Alejandro Ariel",ARG,Gold,5
2004,Basketball,Basketball,"NOCIONI, Andres Marcelo",ARG,Gold,5
2004,Basketball,Basketball,"OBERTO, Fabricio",ARG,Gold,5
2004,Basketball,Basketball,"SANCHEZ, Juan Ignacio",ARG,Gold,5
2004,Basketball,Basketball,"SCOLA, Luis Alberto",ARG,Gold,5
2004,Basketball,Basketball,"SCONOCHINI, Hugo Ariel",ARG,Gold,5
2004,Basketball,Basketball,"WOLKOWYSKI, Ruben",ARG,Gold,5
2004,Football,Football,"AYALA, Roberto",ARG,Gold,5
2004,Football,Football,"BURDISSO, Nicolas",ARG,Gold,5
2004,Football,Football,"COLOCCINI, Fabricio",ARG,Gold,5
2004,Football,Football,"D ALESSANDRO, Andres",ARG,Gold,5
2004,Football,Football,"DELGADO, Cesar",ARG,Gold,5
2004,Football,Football,"GONZALEZ, Cristian",ARG,Gold,5
2004,Football,Football,"GONZALEZ, Luis",ARG,Gold,5
2004,Football,Football,"HEINZE, Gabriel",ARG,Gold,5
2004,Football,Football,"LUX, German",ARG,Gold,5
2004,Football,Football,"MASCHERANO, Javier",ARG,Gold,5
2004,Football,Football,"MEDINA, Nicolas",ARG,Gold,5
2004,Football,Football,"RODRIGUEZ, Clemente Juan",ARG,Gold,5
2004,Football,Football,"SAVIOLA, Javier",ARG,Gold,5
2004,Football,Football,"TEVEZ, Carlos",ARG,Gold,5
2004,Hockey,Hockey,"AICEGA, Magdalena",ARG,Bronze,5
2004,Hockey,Hockey,"ANTONISKA, Mariela",ARG,Bronze,5
2004,Hockey,Hockey,"ARRONDO, Ines",ARG,Bronze,5
2004,Hockey,Hockey,"AYMAR, Luciana",ARG,Bronze,5
2004,Hockey,Hockey,"BURKART, Claudia",ARG,Bronze,5
2004,Hockey,Hockey,"DI GIACOMO, Marina Emilce",ARG,Bronze,5
2004,Hockey,Hockey,"GARCIA, Agustina",ARG,Bronze,5
2004,Hockey,Hockey,"GONZALEZ OLIVA, Mariana",ARG,Bronze,5
2004,Hockey,Hockey,"GULLA, Alejandra",ARG,Bronze,5
2004,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",ARG,Bronze,5
2004,Hockey,Hockey,"MARGALOT, Maria Mercedes",ARG,Bronze,5
2004,Hockey,Hockey,"ONETO, Vanina Paula",ARG,Bronze,5
2004,Hockey,Hockey,"ROGNONI, Maria Cecilia",ARG,Bronze,5
2004,Hockey,Hockey,"RUSSO, Marine",ARG,Bronze,5
2004,Hockey,Hockey,"STEPNIK, Ayelen Iara",ARG,Bronze,5
2004,Hockey,Hockey,"VUKOJICIC, Paola",ARG,Bronze,5
2004,Sailing,Sailing,"ESPINOLA, Carlos",ARG,Bronze,5
2004,Sailing,Sailing,"LANGE, Santiago",ARG,Bronze,5
2004,Tennis,Tennis,"SUAREZ, Paola",ARG,Bronze,5
2004,Tennis,Tennis,"TARABINI, Patricia",ARG,Bronze,5
2008,Basketball,Basketball,"DELFINO, Carlos Francisco",ARG,Bronze,5
2008,Basketball,Basketball,"GINOBILI, Emanuel David",ARG,Bronze,5
2008,Basketball,Basketball,"GONZALEZ, Roman Javier",ARG,Bronze,5
2008,Basketball,Basketball,"GUTIERREZ LLANAS, Juan Pedro",ARG,Bronze,5
2008,Basketball,Basketball,"GUTIERREZ, Leonardo Martin",ARG,Bronze,5
2008,Basketball,Basketball,"KAMMERICHS, Guillermo Federico",ARG,Bronze,5
2008,Basketball,Basketball,"NOCIONI, Andres Marcelo",ARG,Bronze,5
2008,Basketball,Basketball,"OBERTO, Fabricio Raul Jesus",ARG,Bronze,5
2008,Basketball,Basketball,"PORTA PERNIGOTTI, Antonio Alejandro",ARG,Bronze,5
2008,Basketball,Basketball,"PRIGIONI, Pablo",ARG,Bronze,5
2008,Basketball,Basketball,"QUINTEROS, Alfredo Paolo",ARG,Bronze,5
2008,Basketball,Basketball,"SCOLA, Luis Alberto",ARG,Bronze,5
2008,Cycling,Cycling Track,"CURUCHET, Juan Esteban",ARG,Gold,5
2008,Cycling,Cycling Track,"PEREZ, Walter Fernando",ARG,Gold,5
2008,Football,Football,"ACOSTA, Lautaro",ARG,Gold,5
2008,Football,Football,"AGUERO, Sergio",ARG,Gold,5
2008,Football,Football,"BANEGA, Ever",ARG,Gold,5
2008,Football,Football,"BUONANOTTE , Diego",ARG,Gold,5
2008,Football,Football,"DI MARIA, Angel",ARG,Gold,5
2008,Football,Football,"FAZIO, Federico",ARG,Gold,5
2008,Football,Football,"GAGO, Fernando",ARG,Gold,5
2008,Football,Football,"GARAY, Ezequiel",ARG,Gold,5
2008,Football,Football,"LAVEZZI, Ezequiel",ARG,Gold,5
2008,Football,Football,"MASCHERANO, Javier",ARG,Gold,5
2008,Football,Football,"MESSI, Lionel",ARG,Gold,5
2008,Football,Football,"MONZON, Luciano",ARG,Gold,5
2008,Football,Football,"NAVARRO, Nicolas",ARG,Gold,5
2008,Football,Football,"PAREJA, Nicolas",ARG,Gold,5
2008,Football,Football,"RIQUELME, Juan",ARG,Gold,5
2008,Football,Football,"ROMERO, Sergio",ARG,Gold,5
2008,Football,Football,"SOSA, Jose",ARG,Gold,5
2008,Football,Football,"ZABALETA, Pablo",ARG,Gold,5
2008,Hockey,Hockey,"AICEGA, Magdalena",ARG,Bronze,5
2008,Hockey,Hockey,"AYMAR, Luciana",ARG,Bronze,5
2008,Hockey,Hockey,"BARRIONUEVO, Noel",ARG,Bronze,5
2008,Hockey,Hockey,"BURKART, Claudia",ARG,Bronze,5
2008,Hockey,Hockey,"GARCIA, Agustina",ARG,Bronze,5
2008,Hockey,Hockey,"GONZALEZ OLIVA, Mariana",ARG,Bronze,5
2008,Hockey,Hockey,"GULLA, Alejandra",ARG,Bronze,5
2008,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",ARG,Bronze,5
2008,Hockey,Hockey,"KANEVSKY, Giselle",ARG,Bronze,5
2008,Hockey,Hockey,"LUCHETTI, Rosario",ARG,Bronze,5
2008,Hockey,Hockey,"MARGALOT, Mercedes",ARG,Bronze,5
2008,Hockey,Hockey,"REBECCHI, Carla",ARG,Bronze,5
2008,Hockey,Hockey,"ROSSI, Mariana",ARG,Bronze,5
2008,Hockey,Hockey,"RUSSO, Marine",ARG,Bronze,5
2008,Hockey,Hockey,"SUCCI, Belen",ARG,Bronze,5
2008,Hockey,Hockey,"VUKOJICIC, Paola",ARG,Bronze,5
2008,Judo,Judo,"PARETO, Paula Belen",ARG,Bronze,5
2008,Sailing,Sailing,"ESPINOLA, Carlos",ARG,Bronze,5
2008,Sailing,Sailing,"LANGE, Santiago",ARG,Bronze,5
1996,Wrestling,Wrestling Free.,"MKRCHYAN, Armen",ARM,Silver,6
1996,Wrestling,Wrestling Gre-R,"NAZARYAN, Armen",ARM,Gold,6
2000,Weightlifting,Weightlifting,"MELIKYAN, Arsen",ARM,Bronze,6
2008,Boxing,Boxing,"JAVAKHYAN, Hrachik",ARM,Bronze,6
2008,Weightlifting,Weightlifting,"MARTIROSYAN, Tigran Gevorg",ARM,Bronze,6
2008,Weightlifting,Weightlifting,"DAVTYAN, Gevorg",ARM,Bronze,6
2008,Weightlifting,Weightlifting,"MARTIROSYAN, Tigran Varban",ARM,Bronze,6
2008,Wrestling,Wrestling Gre-R,"AMOYAN, Roman",ARM,Bronze,6
2008,Wrestling,Wrestling Gre-R,"PATRIKEEV, Yuri",ARM,Bronze,6
1896,Athletics,Athletics,"FLACK, Edwin",AUS,Gold,7
1896,Athletics,Athletics,"FLACK, Edwin",AUS,Gold,7
1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Gold,7
1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Gold,7
1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Bronze,7
1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Bronze,7
1900,Athletics,Athletics,"ROWLEY, Stanley",AUS,Bronze,7
1920,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",AUS,Bronze,7
1920,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",AUS,Silver,7
1920,Aquatics,Swimming,"HAY, Henry",AUS,Silver,7
1920,Aquatics,Swimming,"HERALD, William",AUS,Silver,7
1920,Aquatics,Swimming,"STEDMAN, Ivan",AUS,Silver,7
1920,Athletics,Athletics,"PARKER, George",AUS,Silver,7
1924,Aquatics,Diving,"EVE, Richmond",AUS,Gold,7
1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Bronze,7
1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Gold,7
1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Bronze,7
1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Silver,7
1924,Aquatics,Swimming,"CHRISTIE, Maurice F.",AUS,Silver,7
1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Silver,7
1924,Aquatics,Swimming,"HENRY, Ernest M.",AUS,Silver,7
1924,Aquatics,Swimming,"STEDMAN, Ivan",AUS,Silver,7
1924,Athletics,Athletics,"WINTER, Anthony William",AUS,Gold,7
1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Silver,7
1928,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Silver,7
1928,Cycling,Cycling Track,"GRAY, Edgar Laurence",AUS,Bronze,7
1928,Rowing,Rowing,"PEARCE, Henry Robert",AUS,Gold,7
1932,Aquatics,Swimming,"MEALING, Philomenia Alecia",AUS,Silver,7
1932,Aquatics,Swimming,"DENNIS, Clare",AUS,Gold,7
1932,Cycling,Cycling Track,"GRAY, Edgar Laurence",AUS,Gold,7
1932,Rowing,Rowing,"PEARCE, Henry Robert",AUS,Gold,7
1932,Wrestling,Wrestling Free.,"SCARF, Richard Edward",AUS,Bronze,7
1936,Athletics,Athletics,"METCALFE, John Patrick",AUS,Bronze,7
1948,Aquatics,Swimming,"DAVIES, Judith Joy",AUS,Bronze,7
1948,Aquatics,Swimming,"MARSHALL, John Birnie",AUS,Silver,7
1948,Aquatics,Swimming,"LYONS, Beatrice Nancy",AUS,Silver,7
1948,Aquatics,Swimming,"MARSHALL, John Birnie",AUS,Bronze,7
1948,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Bronze,7
1948,Athletics,Athletics,"KING-WALKER, Joyce A.",AUS,Silver,7
1948,Athletics,Athletics,"MASTON-FERGSON, June Rit",AUS,Silver,7
1948,Athletics,Athletics,"MCKINNON, Elizabeth",AUS,Silver,7
1948,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Silver,7
1948,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Bronze,7
1948,Athletics,Athletics,"WINTER, John",AUS,Gold,7
1948,Athletics,Athletics,"BRUCE, Thomas Theodore",AUS,Silver,7
1948,Athletics,Athletics,"AVERY, George Gordon",AUS,Silver,7
1948,Rowing,Rowing,"WOOD, Merwyn Thomas",AUS,Gold,7
1948,Wrestling,Wrestling Free.,"ARMSTRONG, Joseph",AUS,Bronze,7
1948,Wrestling,Wrestling Free.,"GARRARD, Richard Edward",AUS,Silver,7
1952,Aquatics,Swimming,"DAVIES, John Griffith",AUS,Gold,7
1952,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Bronze,7
1952,Athletics,Athletics,"JACKSON, Marjorie",AUS,Gold,7
1952,Athletics,Athletics,"JACKSON, Marjorie",AUS,Gold,7
1952,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Gold,7
1952,Cycling,Cycling Track,"MOCKRIDGE, Russell",AUS,Gold,7
1952,Cycling,Cycling Track,"COX, Lionel",AUS,Gold,7
1952,Cycling,Cycling Track,"MOCKRIDGE, Russell",AUS,Gold,7
1952,Cycling,Cycling Track,"COX, Lionel",AUS,Silver,7
1952,Rowing,Rowing,"ANDERSON, David Rollo",AUS,Bronze,7
1952,Rowing,Rowing,"CAYZER, Phillip Arthur",AUS,Bronze,7
1952,Rowing,Rowing,"CHAPMAN, Ernest William",AUS,Bronze,7
1952,Rowing,Rowing,"CHESSELL, Thomas Edmund",AUS,Bronze,7
1952,Rowing,Rowing,"FINLAY, Merwyn David",AUS,Bronze,7
1952,Rowing,Rowing,"GREENWOOD, Nimrod",AUS,Bronze,7
1952,Rowing,Rowing,"PAIN, Edward Oscar",AUS,Bronze,7
1952,Rowing,Rowing,"TINNING, Robert Noel",AUS,Bronze,7
1952,Rowing,Rowing,"WILLIAMSON, Geoffrey",AUS,Bronze,7
1952,Rowing,Rowing,"WOOD, Merwyn Thomas",AUS,Silver,7
1952,Weightlifting,Weightlifting,"BARBERIS, Verdi",AUS,Bronze,7
1956,Aquatics,Swimming,"THEILE, David Egmont",AUS,Gold,7
1956,Aquatics,Swimming,"MONCKTON, John James",AUS,Silver,7
1956,Aquatics,Swimming,"CHAPMAN, Gary",AUS,Bronze,7
1956,Aquatics,Swimming,"HENRICKS, Jon Malcolm",AUS,Gold,7
1956,Aquatics,Swimming,"DEVITT, John",AUS,Silver,7
1956,Aquatics,Swimming,"LEECH, Faith Yvonne",AUS,Bronze,7
1956,Aquatics,Swimming,"FRASER, Dawn",AUS,Gold,7
1956,Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Silver,7
1956,Aquatics,Swimming,"ROSE, Murray",AUS,Gold,7
1956,Aquatics,Swimming,"ROSE, Murray",AUS,Gold,7
1956,Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Gold,7
1956,Aquatics,Swimming,"FRASER, Dawn",AUS,Silver,7
